KOS	= "countries/Kosovo.txt"
PAP	= "countries/Papal States.txt"
SAR	= "countries/Sardinia.txt"
DVD	= "countries/Order of Devildom.txt"
CTA	= "countries/Central Africa.txt"
ETA	= "countries/East Africa.txt"
NAU	= "countries/North African Union.txt"
KNJ	= "countries/New Jerusalem.txt"
KOC	= "countries/Kingdom of Colombia.txt"
IWW	= "countries/Commune of America.txt"
TEX	= "countries/Texas.txt"
ACP	= "countries/United Corporates.txt"
NYC	= "countries/New York City.txt"
ALK    = "countries/Alaska.txt"
